Question,Answer
What are the features of Mobile banking or SMS banking?,"The features of Mobile banking or SMS banking are:
- Fund Transfer
- Between Laxmi Sunrise accounts
- Interbank transfer
- Payment
- Recharge card and Mobile Topup
- Utility Bills – Phone/Electricity bills
- Merchant Payment including eSewa
- Credit Card Bills
- Fonepay Merchant Pay
- Cardless Withdrawal
- Pay at a restaurant or a shop through your Mobile Phone
- Banking service requests
- Balance check
- Real time alert
"
What is the benefit of mobile banking?,"Through mobile banking, you can access your account 24/7 over Wi-Fi, data or SMS for full range of banking services. Go Green with Orange and enjoy paperless and commute-free banking."
My mobile money has a low limit?,"This issue is due to the account being in **Alert Service** mode. To enjoy the full features of the Mobile Money service, please visit your nearest branch for full subscription activation. Mobile Money Transaction Limits are:
- Per Transaction Limit: NPR 300,000
- Daily Limit: NPR 300,000
- Monthly Limit: NPR 2,000,000
"
How can I increase the transaction limit of mobile banking?,"To enjoy the full features of the Mobile Money service, please visit your nearest branch for full subscription activation. The Mobile Money Transaction Limits are:
- Per Transaction Limit: NPR 300,000
- Daily Limit: NPR 300,000
- Monthly Limit: NPR 2,000,000
"
How to operate mobile banking from abroad?,"To operate mobile banking from abroad, you need to enroll in Mobile Money Services and update your number in your **International Profile**. Please contact our Customer Care Center  via 01-5970684 / 01-4217070 / 16600122444 (Toll Free) or text us on WhatsApp / Viber at 9869496336. You can also email us at cx@laxmisunrise.com. They will guide you through the necessary steps and requirements to update your profile for international transactions.
Alternatively, please follow these steps to use mobile banking while abroad:
1. Ensure Activation: Make sure your mobile banking is activated in the International Profile before you leave the country.
2. Internet Connection: Have a stable internet connection while abroad.
3. Download the App: If you haven't already, download the Laxmi Sunrise Bank mobile banking app on your smartphone.
4. Login: Use your credentials to log in to the mobile banking app.
5. Perform Transactions: You can carry out fund transfers, bill payments, check your account balance, and more.
For specific details or further assistance, please contact Laxmi Sunrise Bank's Customer Care Center  via 01-5970684 / 01-4217070 / 16600122444 (Toll Free) or text us on WhatsApp / Viber at 9869496336. You can also email us at cx@laxmisunrise.com."
How can I update mobile banking into international profile?,"To operate mobile banking from abroad, you must enroll in Mobile Money Services and update your number in the International Profile. Please contact our Customer Care Center via 01-5970684 / 01-4217070 / 16600122444 (Toll Free) or text us on WhatsApp / Viber at 9869496336. You can also email us at cx@laxmisunrise.com. They will guide you through the necessary steps and requirements for updating your profile to enable international transactions."
How to renew mobile banking service?,"If your mobile banking has expired, you can renew it using the **Service Renewal** option shown when logging into Mobile Money.
Otherwise, please contact Laxmi Sunrise Bank's Customer Care Center via 01-5970684 / 01-4217070 / 16600122444 (Toll Free) or text us on WhatsApp / Viber at 9869496336. You can also email us at cx@laxmisunrise.com or visit your nearest branch for assistance."
How can I reset password of mobile banking or mobile money in new device?,"For security reasons, password reset on a new device cannot be done online. Please visit your nearest branch to reset your password."
How to use mobile banking in a new device?,"Please follow these steps to opearte mobile banking on a new device: 
1. Download and install the Mobile Money application on your new device.
2. Use your registered mobile number as the username and your Login Password to log in.
3. If you see the 'You are not authorized' message then select the Authorize option.
4. Enter your mobile number and other required details.
5. Send the confirmation SMS to validate your mobile number.
6. You will receive an OTP (One-Time Password) on your registered mobile number.
7. Enter the OTP in the app to verify your number.
8. You can log in and use the mobile banking service once verified.
"
How to use mobile money in a new device?,"Please follow these steps to opearte mobile money on a new device: 
1. Download and install the Mobile Money application on your new device.
2. Use your registered mobile number as the username and your Login Password to log in.
3. If you see the 'You are not authorized' message then select the Authorize option.
4. Enter your mobile number and other required details.
5. Send the confirmation SMS to validate your mobile number.
6. You will receive an OTP (One-Time Password) on your registered mobile number.
7. Enter the OTP in the app to verify your number.
8. You can log in and use the mobile banking service once verified.
"
How can I reset transaction pin of mobile money?,"Please follow the steps to reset transaction pin of mobile money:
1. Open your Laxmi Sunrise Mobile Money app
2. Click on SMS at the top right corner
3. Navigate to 'Settings'
4. Click on Change Transaction PIN
5. Enter your current transaction pin 
6. Enter your new transaction pin and confirm it
7. Send a confirmation SMS to validate your mobile number
8. Provide verification code
9. Answer the set Security Question if you have set them
10. Change your password
You may reach out **Customer Care Center** at  via **01-5970684 / 01-4217070 / 16600122444 (Toll Free)** or **text us** on **WhatsApp / Viber** at **9869496336**. You can also email us at **cx@laxmisunrise.com** if you need further assistance"
How can I reset transaction pin of mobile banking?,"Please follow the steps to reset transaction pin of mobile banking:
1. Open your Laxmi Sunrise Mobile Money app
2. Click on SMS at the top right corner
3. Navigate to 'Settings'
4. Click on Change Transaction PIN
5. Enter your current transaction pin 
6. Enter your new transaction pin and confirm it
7. Send a confirmation SMS to validate your mobile number
8. Provide verification code
9. Answer the set Security Question if you have set them
10. Change your password
You may reach out **Customer Care Center** at  via **01-5970684 / 01-4217070 / 16600122444 (Toll Free)** or **text us** on **WhatsApp / Viber** at **9869496336**. You can also email us at **cx@laxmisunrise.com** if you need further assistance"
What are the steps of blocking account through mobile money app or mobile banking?,"The steps of blocking account through mobile money are:
1. Open your Laxmi Sunrise Mobile Money app
2. Login with your credentials
3. Click on View account section 
4. Click on the 'Account Block' option
5. Choose between Total Block and Debit(Withdraw) Block
6. Give Account Block Reason and click on 'Continue'
7. Accept the Terms and Conditions
10. Verify and click on 'Proceed'
12. Enter your transaction PIN
You may reach out **Customer Care Center** at  via **01-5970684 / 01-4217070 / 16600122444 (Toll Free)** or **text us** on **WhatsApp / Viber** at **9869496336**. You can also email us at **cx@laxmisunrise.com** if you need further assistance"
What are the steps of opening recurring deposit account through mobile money or mobile banking?,"The steps of opening recurring deposit account through mobile money app are:
1. Open your Laxmi Sunrise Mobile Money app
2. Login with your credentials
3. Click on the 'Open Recurring Account' option
4. Fill in the form along with the deposit amount and the debit date
5. Click on 'Proceed'
6. Accept the terms and conditions
7. Enter your transaction PIN
You may reach out **Customer Care Center** at  via **01-5970684 / 01-4217070 / 16600122444 (Toll Free)** or **text us** on **WhatsApp / Viber** at **9869496336**. You can also email us at **cx@laxmisunrise.com** if you need further assistance"
What are the steps of opening fixed deposit account through mobile money app or mobile banking?,"The steps of opening fixed deposit account through mobile money app are:
1. Open your Laxmi Sunrise Mobile Money app
2. Login with your credentials
3. Click on the 'Fixed Deposit' option
4. Fill in the form along with amount and email address
5. Click on 'Proceed'
6. Accept the terms and conditions
7. Enter your transaction PIN
You may reach out **Customer Care Center** at  via **01-5970684 / 01-4217070 / 16600122444 (Toll Free)** or **text us** on **WhatsApp / Viber** at **9869496336**. You can also email us at **cx@laxmisunrise.com** if you need further assistance"
What are the steps for paying credit card bill through mobile money or mobile banking?,"The steps of paying credit card bill through mobile money app are:
1. Open Laxmi Sunrise Mobile Money app
2. Login with your credentials
3. Click on the 'Credit Card Bill Payment' option
4. Enter your card details
5. Click on 'Continue'
6. Answer set Security Questions if you have set them
You may reach out **Customer Care Center** at  via **01-5970684 / 01-4217070 / 16600122444 (Toll Free)** or **text us** on **WhatsApp / Viber** at **9869496336**. You can also email us at **cx@laxmisunrise.com** if you need further assistance"
Can all kinds of cards be requested through mobile money app?,"Yes, all kinds of cards can be requested through mobile money app."
Can cheque book be requested from mobile money app or mobile banking?,"Yes, cheque book can be requested through mobile banking. Please follow the steps below:
1. Open your Laxmi Sunrise Mobile Money
2. Login with your credentials
3. Click on 'Services'
4. Select the 'Cheque Book' option
5. Click on 'Request Cheque Book'
6. Select number of leaves and delivery branch
7. Click on 'Continue'
You may reach out **Customer Care Center** at  via **01-5970684 / 01-4217070 / 16600122444 (Toll Free)** or **text us** on **WhatsApp / Viber** at **9869496336**. You can also email us at **cx@laxmisunrise.com** if you need further assistance"
What is the Stop Cheque feature of the mobile money app?,"Stop cheque feature in your Mobile Money app can instantly halt cheque payments. For this:
1. Go to your Mobile Money app
2. Login with your credentials
3. Go to 'Services'
4. Click on the 'Stop Cheque' option
5. Type in your cheque number
6. Click on 'Continue'
7. Accept the Terms and Conditions
8. Click on the 'Proceed' button
You may reach out **Customer Care Center** at  via **01-5970684 / 01-4217070 / 16600122444 (Toll Free)** or **text us** on **WhatsApp / Viber** at **9869496336**. You can also email us at **cx@laxmisunrise.com** if you need further assistance"
How does the cardless withdrawl option in mobile banking or mobile money app work?,"You can withdraw money without a card through our mobile money app through the cardless withdrawl option. The steps are:
1. Open your mobile money app
2. Login with your credentials.
3. Select the 'Payments' options and click on the 'Cardless withdrawl' option
4. Select the amount and click on 'Continue'
5. Enter your Transaction Pin to Proceed
5. An OTP will be send to your mobile number
6. Use this OTP to withdraw money from any Laxmi Sunrise Bank ATMs
You may reach out **Customer Care Center** at  via **01-5970684 / 01-4217070 / 16600122444 (Toll Free)** or **text us** on **WhatsApp / Viber** at **9869496336**. You can also email us at **cx@laxmisunrise.com** if you need further assistance"
How to register or activate mobile mobile banking or mobile money?,"Please follow the steps below to register or activate your Laxmi Sunrise Mobile Money app:
1. Open the Laxmi Sunrise Mobile Money app.
2. Click on 'Register/Activate' or 'Forgot Password'.
3. Navigate to 'Register/Activate'.
4. Accept the Terms & Conditions and click Proceed.
5. Enter your mobile number and click Continue.
6. Allow SMS permissions for mobile number verification.
7. Enter the registered mobile number and click Continue.
8. Send the confirmation SMS to validate your mobile number.
9. You'll receive a confirmation SMS - Click the send button.
10. After validation, you'll receive an OTP code.
11. Enter the OTP and click Continue.
12. Enter your bank account number and click Continue.
13. Set your Transaction PIN/Password and click Continue.
14.Account Registered Successfully! Go to Login page.
If you still have any confusion regarding the activation of mobile money activation, please refer to this link: https://youtu.be/8viDxFYbv7s?si=eNXM_9crtA6JDR1K . You may reach out **Customer Care Center** at  via **01-5970684 / 01-4217070 / 16600122444 (Toll Free)** or **text us** on **WhatsApp / Viber** at **9869496336**. You can also email us at **cx@laxmisunrise.com** if you need further assistance."
What are the things to be considered before mobile money activation?,"Before proceeding with Mobile Banking Activation, kindly verify the following:
1. Dual SIM in Same Device: Ensure that the SIM registered for Mobile Banking is set as the default messaging SIM. SMS verification may fail if an unregistered SIM is set as the default.
2. True caller/Facebook/Instagram App: Ensure these apps are not set as the default messaging app, as they may recognize 32002 as spam and block the SMS verification.
3. Balance in SIM: Ensure there is sufficient balance in the SIM card to send SMS for verification. Lack of balance can cause verification failure.
4. After SMS Verification Send for OTP: After sending the SMS, double-tap the back button of your Mobile instead of tapping the home button to avoid errors during OTP generation.
You may reach out **Customer Care Center** at  via **01-5970684 / 01-4217070 / 16600122444 (Toll Free)** or **text us** on **WhatsApp / Viber** at **9869496336**. You can also email us at **cx@laxmisunrise.com** if you need further assistance."
How can I activate mobile money if I have dual SIM?,"If you have dual SIM, ensure that the SIM registered for Mobile Banking is set as the default messaging SIM. SMS verification may fail if an unregistered SIM is set as the default."
What should be my default messaging app to activate mobile money?,"Ensure that true caller, facebook, instagram app are not set as the default messaging app, as they may recognize 32002 as spam and block the SMS verification."
Should I have balannce in my SIM for activating mobile money?,"Yes, ensure there is sufficient balance in the SIM card to send SMS for verification. Lack of balance can cause verification failure."
What should I do if I am getting errors during OTP generation while the activation of mobile money?,"After sending the SMS, double-tap the back button of your Mobile instead of tapping the home button to avoid errors during OTP generation."
What should I do if I am not able to activate my mobile money?,"Please consider these factors due to which you may be facing errors or are not being able to activate your monile money:
1. Dual SIM in Same Device: Ensure that the SIM registered for Mobile Banking is set as the default messaging SIM. SMS verification may fail if an unregistered SIM is set as the default.
2. True caller/Facebook/Instagram App: Ensure these apps are not set as the default messaging app, as they may recognize 32002 as spam and block the SMS verification.
3. Balance in SIM: Ensure there is sufficient balance in the SIM card to send SMS for verification. Lack of balance can cause verification failure.
4. After SMS Verification Send for OTP: After sending the SMS, double-tap the back button of your Mobile instead of tapping the home button to avoid errors during OTP generation.
You may reach out **Customer Care Center** at  via **01-5970684 / 01-4217070 / 16600122444 (Toll Free)** or **text us** on **WhatsApp / Viber** at **9869496336**. You can also email us at **cx@laxmisunrise.com** if you need further assistance."
What should I do if I find any suspicious activity on my mobile money?,"If you spot any suspicious activity in your account, protect your account instantly with the **Account Block** feature in your Mobile Money app.
Here's how:
1. Login to Mobile Money
2. Scroll down and tap 'Block Account'
3. Choose to block partially or completely and continue
4. Your account is now frozen - preventing further damage!
Remember that blocking your account is a temporary safeguard. Always report the incident to the Bank or authorities for investigation and security. You may reach out **Customer Care Center** at  via **01-5970684 / 01-4217070 / 16600122444 (Toll Free)** or **text us** on **WhatsApp / Viber** at **9869496336**. You can also email us at **cx@laxmisunrise.com** if you need further assistance."
What if my QR payment is failed?,"If your QR payment is failed, please report the problem via our mobile money app. You may also reach out **Customer Care Center** at  via **01-5970684 / 01-4217070 / 16600122444 (Toll Free)** or **text us** on **WhatsApp / Viber** at **9869496336**. You can also email us at **cx@laxmisunrise.com** if you need further assistance."
What if my e-commerce transaction is failed?,"If your e-commerce transaction is failed, please report the problem via our mobile money app. You may also reach out **Customer Care Center** at  via **01-5970684 / 01-4217070 / 16600122444 (Toll Free)** or **text us** on **WhatsApp / Viber** at **9869496336**. You can also email us at **cx@laxmisunrise.com** if you need further assistance."
What if my transaction is failed?,"If your transaction is failed, please report the problem via our mobile money app. You may also reach out **Customer Care Center** at  via **01-5970684 / 01-4217070 / 16600122444 (Toll Free)** or **text us** on **WhatsApp / Viber** at **9869496336**. You can also email us at **cx@laxmisunrise.com** if you need further assistance."
