Question,Answer
Laxmi Sunrise Bank,"Laxmi Sunrise Bank Ltd. is the 16th commercial bank in Nepal, incorporated in April 2002. It merged with HISEF Finance Limited in 2004, being the first merger in Nepali corporate history and further, acquired Professional Diyalo Bikas Bank in January 2017.
Laxmi Sunrise Bank serves a diverse range of customers through its branches and IT-enabled channels. It has become a major player in all business lines and is widely recognized as one of the best-managed banks in Nepal, with high standards of corporate governance culture, risk-management systems, and strong technology."
What is the fee for missing an installment in a recurring deposit?,"No fees or charges will be applicable on missed installments or premature withdrawal."
Are there any charges for withdrawing money from a Recurring Deposit before maturity?,"No fees or charges will be applicable on missed installments or premature withdrawal."
Where can I find the borrowing power calculator?,"You can find the Borrowing Power Calculator on the official Laxmi Sunrise website, usually under the loan application or tools section. Please follow the link: https://www.laxmisunrise.com/calculators/#borrowing-power-calculator."
Are the results of the borrowing power calculator guaranteed?,"No, the figures are estimates only. The actual approved amount may vary based on bank policies, your credit profile, and current NRB (Nepal Rastra Bank) regulations."
What information does borrowing power calculator provide?,"Based on your inputs, the calculator will show:
1. An estimated maximum loan amount you may qualify for
2. An estimated monthly repayment amount for that loan"
What is a Borrowing Power Calculator?,"The Borrowing Power Calculator is an online tool provided by Laxmi Sunrise to help you estimate how much loan you may be eligible to borrow based on your financial profile."
What details do I need to enter into the calculator?,"To use the calculator effectively, you will need to enter the following:
1. Loan Type 
2. Gross Monthly Income (in Nepalese Rupees)
3. Desired Loan Term (in years)
4. Expected Interest Rate (percentage)
"
Is there a tool to estimate my borrowing capacity?,"Yes, use the Borrowing Power Calculator to estimate how much you can borrow and the monthly repayment based on income, term, and interest rate."
How do I know how much I can borrow?,"You can use the Borrowing Power Calculator provided on our website to estimate your borrowing capacity based on your income, loan term, and interest rate."
What are the services provided by Schedule of Service Charges?,"The basic banking are:
- ATM Card
- Credit Card
- USD Prepaid Travel Card
- SMS (Mobile) Banking
- Internet Banking (iBank) Services
- Email Alerts
- Mobile Money
- Mobile Khata
- HBL/BOK Fund Transfer Services
- Share Registrar Services
- Courier Recovery
- Postage Recovery
- Market Maker
- Home Banking Service
- Safe Deposit Locker
- Trade Operations
- Loan Administration
"
Does the borrowing power calculator make this a final loan approval?,"No, the Borrowing Power Calculator only provides an estimate. The final loan amount and repayment schedule will depend on your complete financial assessment, documentation, and internal approval process of Laxmi Sunrise."
Why is the result of the borrowing calculator showing Rs. 0?,"This happens if default values (like income or loan term) are left at zero. Make sure to input realistic values to get an accurate estimate."
Where can I find the Recurring Deposit Calculator?,"You can access the recurring deposit calculator at https://www.laxmisunrise.com/calculators/#recurring-deposit-calculator."
Where can I find the Loan Repayment calculator?,"You can access the Loan Repayment Calculator at https://www.laxmisunrise.com/calculators/#loan-repayment-calculator."
How much do I need to pay monthly for a loan?,"To determine how much you need to pay monthly for a loan, you can use a loan repayment calculator. You can access the loan repayment calculator by following the link: https://www.laxmisunrise.com/calculators/#loan-repayment-calculator"
Is there a loan service available for payroll account holders or Subha bachat khata account holders?,"Yes, payroll account holders get a personal loan facility up to 6 times the Gross salary or NPR 1,500,000, whichever is lower."
What is the credit card limit for payroll account holders?,"A pre-approved Credit Card limit up to 1.5 times the Gross Salary or NPR 100,000, whichever is lower."
Is there any service for those who have a Recurring Deposit (RD) account in a DEMAT account?,"Yes, RD account holders will be able to open DMAT account with Laxmi Capital for free (for 1st year)."
What products are available in micro finance services?,"The available products under micro finance services are:
1. Laxmi Laghu Karja
2. Dhaanya Krishi Karja
3. Low Cost Housing
4. Livestock Loan
5. Tractor Loan
"
What are the products of Laxmi Sunrise Bank?,"The products of Laxmi Sunrise Bank are:
1. Green Savings
2. Mero Bhumi Bachat Khata
3. Orange Savings Plus
4. Shakti Bachat
5. Samman Bachat
6. Sunaulo Bachat
7. Special Care Savings
8. Sampurna Bachat
9. Subha Bachat
10. Sunrise Savings
11. Wonder Woman Savings
12. USD Savings
13. NRN Savings
14. Maha Bachat
15.Fixed Deposit
16. recurring Deposit"
What is phishing?,"Phishing is a technique employed by hackers to illegally procure personal information like account numbers, internet banking user ids and passwords, etc.
The most frequently used method is to send a spam email to a large database of email IDs say, all Gmail IDs or all Yahoo IDs. The spam email is designed in such a way as to look exactly like an email sent by the targeted company/bank.
The email simply asks the recipient to click on a link and enter their user id and password. Different techniques are used to lure the recipient to click on the link: validation of account information, threat of account suspension, etc.
"
What precautions should users take if contacted by someone claiming to be from the bank?,"Users should never provide any information to such contacts and should immediately notify the bank if such instances occur."
How should users choose their passwords?,"Users should avoid using easily available personal information (like maiden name of mother, birth date, passport digits, phone number) or common dictionary words. Passwords should be difficult, frequently changed, and kept confidential."
What is the Email Solution Service?,"You can subscribe to receive email alerts of transactions and mini account statements. Please visit the nearest branch to subscribe."
What can I do for my Account Information Safety?,"Change your password at regular intervals and keep your internet banking password confidential.
Always use a combination of alphabets (both UPPERCASE and lowercase), numbers and symbols to create a strong password. DO NOT use same passwords across different accounts. DO NOT note down your passwords in written form to ensure its confidentiality. Your memory is the only place it should be stored."
How to secure my system?,"Install antivirus and firewall and ensure that your system antivirus is updated regularly. Update OS security patches regularly. Never share your mobile computing devices with anyone. Never respond to emails that request your personal information. At Laxmi Sunrise, we would never ask for your personal details through an email, telephone or in person. Nor would we ask for your password through any means, phone, fax, email or in person. If any of our bank employees asks you for your password, DO NOT disclose it and report the matter to us immediately by writing an email to infosec@laxmibank.com."
How to construct a strong and unique password?,"When you create your password, make it at least 8 characters long. Include at least one capital letter, one numerals (0-9) and one special character (like @, #, $, etc). This makes the password difficult to crack. DO NOT use a phrase, word, etc. that anybody close to you or around you can predict, guess or take a hint of. Following the rule of separate passwords for every online account helps to thwart cyber-criminals."
How to check if the Banking Website I Are Visiting is Secure?,"It is always safe to type your bank URL in the address bar of the browser, rather than clicking on links given in an email. There are instances of fraudsters sending emails with fraudulent website links that are designed exactly like the original website of the bank. So, before submitting your bank details or other sensitive information, there are a couple of checks you can do to help ensure the site uses encryption to protect your personal data:
If the address bar is visible, the URL should start with 'https://www.laxmisunrise.com/………' ('https' for secured). Note the 'S' after the 'HTTP'. Validate the SSL certificate of the website by clicking on lock pad located at the top left corner of the website."
How to validate the SSL Certificate?,"If you are in any doubt about the website, click on the lock icon at the top of the secured page. This opens up a new window, displaying the SSL certificate information. Ensure that there is no Red Cross mark preceding the title 'Certificate Information'. When you click on certificate detail it shows that it is issued to: https://www.laxmisunrise.com"
Why should we use Licensed Antivirus Software?,"To protect your computer from new viruses, ensure that you always use licensed anti-virus software. Pirated antivirus software fails to protect your computer from new viruses prevalent in the online world. Make sure that you keep your antivirus updated so that computing systems is capable of protecting confidential information."
How to use Secure Payment Gateways?,"While shopping online, ensure the payment gateway is secure and verified by a third party (Verisign, Comodo, Trustwave etc). This way you can make payments safe and secure
Here is a list of quick tips that can help you stay safe while shopping online:
- Keep your anti-virus, anti-spyware spam filters and secure firewall up-to-date.
- If an online retailer is requesting your private data (iBank credentials or other bank account details) avoid shopping with them.
- Beware of emails phishing for financial data.
- Check the online retailer's reputation.
- Understand privacy policies, so that you know how they process and store your information."
Can new account holders get internet banking?,"We apologize new subscriptions for Internet Banking are currently not available. We recommend using Ibank XP for your banking needs. For more information, please visit https://www.laxmisunrise.com/ibank/ "
Can I load money onto the USD travel card or dollar travel card through online banking or mobile banking?,"Loading money onto the USD travel card or dollar travel card is not supported through online or mobile banking."
Can all kinds of cards be requested through mobile money app?,"Yes, all kinds of cards can be requested through mobile money app."
Can cheque book be requested from mobile money app or mobile banking?,"Yes, cheque book can be requested through mobile banking. Please follow the steps below:
1. Open your Laxmi Sunrise Mobile Money
2. Login with your credentials
3. Click on 'Services'
4. Select the 'Cheque Book' option
5. Click on 'Request Cheque Book'
6. Select number of leaves and delivery branch
7. Click on 'Continue'
You may reach out **Customer Care Center** at  via **01-5970684 / 01-4217070 / 16600122444 (Toll Free)** or **text us** on **WhatsApp / Viber** at **9869496336**. You can also email us at **cx@laxmisunrise.com** if you need further assistance"
